Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,3030.000000,3079.949951,2935.000000,2954.399902,2945.984375,14189
2018-07-12,2975.000000,2976.550049,2950.000000,2968.350098,2959.895020,5248
2018-07-13,2989.899902,2989.899902,2900.000000,2916.949951,2908.641357,4246
2018-07-16,2905.050049,2912.800049,2850.000000,2865.250000,2857.088623,3486
2018-07-17,2865.000000,2947.949951,2837.000000,2912.050049,2905.783447,8609
2018-07-18,2900.050049,2929.300049,2848.000000,2875.199951,2869.012939,3029
2018-07-19,2845.000000,2909.000000,2803.949951,2827.149902,2821.066162,6401
2018-07-20,2830.000000,2849.750000,2790.000000,2804.899902,2798.864014,5596
2018-07-23,2902.000000,2946.000000,2850.000000,2859.600098,2853.446533,22351
2018-07-24,2860.000000,2896.800049,2813.600098,2838.050049,2831.942871,8200
2018-07-25,2842.050049,2871.899902,2816.050049,2841.500000,2835.385254,23013
2018-07-26,2850.000000,2874.050049,2822.000000,2829.800049,2823.710449,4505
2018-07-27,2840.000000,2925.000000,2826.050049,2832.250000,2826.155273,21016
2018-07-30,2841.000000,2846.449951,2780.149902,2798.649902,2792.627441,14180
2018-07-31,2834.000000,2834.000000,2717.050049,2750.800049,2744.880371,20988
2018-08-01,2799.949951,2799.949951,2723.000000,2739.050049,2733.155762,10766
2018-08-02,2728.000000,2740.449951,2660.000000,2667.699951,2661.959473,16779
2018-08-03,2679.000000,2884.000000,2650.000000,2816.199951,2810.139648,125683
2018-08-06,2848.000000,2892.850098,2815.000000,2864.949951,2858.784912,31469
2018-08-07,2838.000000,2838.000000,2624.050049,2646.399902,2640.705078,120916
2018-08-08,2636.149902,2718.899902,2625.000000,2640.050049,2634.368896,62955
2018-08-09,2645.000000,2689.000000,2605.000000,2627.000000,2621.346924,85409
2018-08-10,2621.050049,2640.699951,2490.000000,2502.050049,2496.665771,58153
2018-08-13,2492.000000,2492.000000,2382.199951,2409.850098,2404.664307,46939
2018-08-14,2400.199951,2456.000000,2400.199951,2430.600098,2425.369629,43165
2018-08-16,2415.000000,2499.000000,2405.050049,2458.699951,2453.408936,19921
2018-08-17,2470.000000,2563.899902,2450.050049,2528.750000,2523.308350,30998
2018-08-20,2529.000000,2569.899902,2500.000000,2507.699951,2502.303711,12948
2018-08-21,2507.000000,2526.500000,2498.000000,2508.350098,2502.952393,9744
2018-08-23,2505.000000,2540.000000,2496.149902,2510.449951,2505.047852,11373
2018-08-24,2528.000000,2625.000000,2510.000000,2595.300049,2589.715088,36554
2018-08-27,2611.000000,2725.000000,2611.000000,2685.350098,2679.571533,76659
2018-08-28,2729.750000,2890.000000,2685.350098,2865.449951,2859.283936,141079
2018-08-29,2875.000000,2975.000000,2874.250000,2915.250000,2908.976563,105708
2018-08-30,2931.250000,2969.000000,2850.000000,2868.699951,2862.526855,34966
2018-08-31,2861.000000,3069.699951,2845.399902,3008.600098,3002.125732,100068
2018-09-03,3014.300049,3024.949951,2850.000000,2872.350098,2866.168945,30828
2018-09-04,2878.000000,2915.949951,2778.050049,2801.449951,2795.421387,20549
2018-09-05,2780.000000,2824.899902,2720.000000,2783.500000,2777.510254,14518
2018-09-06,2805.000000,2834.000000,2731.250000,2756.800049,2750.867676,9848
2018-09-07,2782.550049,2810.000000,2749.949951,2777.350098,2771.373535,8674
